,Fact,Note
3847,"
        Chuck Norris à tout appris à MacGyver.
 ",8.34 / 10 
3848,"
        Chuck Norris peut jouer au bilboquet avec une boule non percée.
 ",8.34 / 10 
3849,"
        Chuck Norris est déjà allé dans un trou noir, mais il est revenu car il n'y avait rien d'intéressant de l'autre côté.
 ",8.34 / 10 
3850,"
        Si un miroir réfléchit c'est parce que Chuck Norris lui avait posé une question.
 ",8.33 / 10 
3851,"
        Lorsque Chuck Norris achète des yaourts, ils n'ont pas de date de péremption.
 ",8.33 / 10 
3852,"
        Quand Chuck Norris va en boîte, c'est lui qui dit si le videur est bien habillé ou pas.
 ",8.33 / 10 
3853,"
        Le baseball a été importé en Chine par Chuck Norris. C'est le résultat d'un home run depuis son terrain perso au Texas.
 ",8.33 / 10 
3854,"
        Chuck Norris a piraté le réseau informatique de la NASA avec un Atari.
 ",8.33 / 10 
3855,"
        Si tu dis à Chuck Norris : ""Une pierre, deux coups"", il te répondra : ""C'est tout ?""
 ",8.33 / 10 
3856,"
        Chuck Norris frappe toujours avant d'entrer. Et le plus souvent, c'est dans ta gueule.
 ",8.33 / 10 
3857,"
        Quand Chuck Norris installe un logiciel, il lit toujours la licence jusqu'au bout.
 ",8.33 / 10 
3858,"
        Si Chuck Norris a ses lacets défaits et tu marches dessus, c'est toi qui tombe.
 ",8.33 / 10 
3859,"
        Chuck Norris a déjà tenté l'île de la tentation, elle a cédé dès le premier soir.
 ",8.33 / 10 
3860,"
        Quand Chuck Norris a faim, il mange une voiture. On dit qu'il se fait un petit break.
 ",8.33 / 10 
3861,"
        Quand il joue à qui perd gagne, Chuck Norris gagne quand même.
 ",8.33 / 10 
3862,"
        Chuck Norris peut faire un blocage maritime sur la Suisse.
 ",8.33 / 10 
3863,"
        Le premier film de Chuck Norris est sorti avant l'invention du cinéma.
 ",8.33 / 10 
3864,"
        Quand Chuck Norris a regardé Astérix aux jeux olympiques, le réalisateur lui a envoyé une lettre d'excuses.
 ",8.33 / 10 
3865,"
        ""Chuck Norris, we have a problem.""

(Apollo 13)
 ",8.33 / 10 
3866,"
        Il y avait trois principaux dieux dans l'Egypte ancienne : Osiris, Anubis et Chuck Norris.
 ",8.33 / 10 
3867,"
        ""Sunday bloody sunday"" a été inspiré à U2 par un épisode de Walker Texas Ranger.
 ",8.33 / 10 
3868,"
        Le GPS de Chuck Norris n'oublie jamais le ""s'il vous plait"".
 ",8.33 / 10 
3869,"
        Chuck Norris gagne toujours au Mastermind, en un coup.
 ",8.33 / 10 
3870,"
        On dit que Moïse a partagé le Nil en deux. En fait c'était Chuck Norris qui faisait un ricochet.
 ",8.33 / 10 
3871,"
        La différence entre dieu et Chuck Norris, c'est que Chuck Norris ne se prend jamais pour dieu
 ",8.33 / 10 
3872,"
        La lune se lève quand Chuck Norris se couche, et se couche quand Chuck Norris se leve. Elle est pas folle, la lune.
 ",8.33 / 10 
3873,"
        Chuck Norris a fini Final Fantasy 7 en un seul CD
 ",8.33 / 10 
3874,"
        Si Chuck Norris avait été pris dans le film ""300"" il l'aurait renommé en ""1"".
 ",8.33 / 10 
3875,"
        Seb c'est bien. Chuck, c'est mieux.
 ",8.33 / 10 
3876,"
        Chuck Norris arrive à manger équilibré chez Mc Do
 ",8.33 / 10 
3877,"
        Si Mika chante aussi aigüe, c'est parce que Chuck Norris lui a donné un coup de pied dans les couilles.
 ",8.33 / 10 
3878,"
        Ce que l'avenir vous promet, Chuck Norris vous l'apporte.
 ",8.33 / 10 
3879,"
        Si Chuck Norris est si riche, c'est parce que des gens comme Tigger Wood ou Michael Schumacher l'ont grassement payé pour ne pas participer à leurs sports respectifs.
 ",8.33 / 10 
3880,"
        Si Jesus portait la barbe, c'était pour tenter de ressembler à Chuck Norris
 ",8.33 / 10 
3881,"
        Chuck Norris se prononce ""Bouddha"" en tibétain
 ",8.33 / 10 
3882,"
        Si la lumière ne va qu'à 300 000km/sc, c'est par peur de doubler Chuck Norris.
 ",8.33 / 10 
3883,"
        Si Johnny Hallyday transpire autant sur scène c'est parce que Chuck Norris l'attend en coulisse...
 ",8.33 / 10 
3884,"
        Les suisses ne sont pas neutres, ils attendent de savoir de quel coté Chuck Norris se situe.
 ",8.33 / 10 
3885,"
        La vérité peut blesser, Chuck Norris blesse la vérité.
 ",8.33 / 10 
3886,"
        Dieu créa l'univers. Mais avant ça il a bien fallu que Chuck Norris crée Dieu
 ",8.33 / 10 
3887,"
        La première version du Guiness des Records a fait un flop. Les gens ont cru qu'il s'agissait de la biographie de Chuck Norris.
 ",8.33 / 10 
3888,"
        Les hommes en chaise roulante courent lorsqu'ils aperçoivent Chuck Norris.
 ",8.33 / 10 
3889,"
        Chuck Norris a fait sourire Droopy une fois.
 ",8.33 / 10 
3890,"
        Quand Chuck Norris lance un chat, il retombe sur son dos.
 ",8.33 / 10 
3891,"
        Chuck Norris utilise le stylet sur l'écran supérieur de la Nintendo DS et ça marche très bien
 ",8.33 / 10 
3892,"
        Chuck Norris sait  l'heure ou il s'endort
 ",8.33 / 10 
3893,"
        Même trop de Chuck Norris ne tue pas Chuck Norris.
 ",8.33 / 10 
3894,"
        Chuck Norris peut réussir une grille de sudoku en binaire.
 ",8.33 / 10 
3895,"
        Chuck Norris a fabriqué son Pick-up avec les restes de Robocop et de Terminator.
 ",8.33 / 10 
3896,"
        Chuck Norris peut éblouir le soleil.
 ",8.33 / 10 
3897,"
        A l'origine de la Terre il y'a le Big Bang, A l'origine du Big Bang il y'a Chuck Norris !
 ",8.33 / 10 
3898,"
        Chuck Norris ne s'est jamais rendu à l'école.
Chuck Norris ne se rend jamais ...
 ",8.33 / 10 
3899,"
        Chuck Norris devine la fin des David Lynch en lisant le résumé dans le programme télé.
 ",8.33 / 10 
3900,"
        Ne demande jamais un coup de main à Chuck Norris, tu pourrais en mourir.
 ",8.33 / 10 
3901,"
        Sur les premiers porte-avions, les avions étaient lancés par Chuck Norris.
 ",8.33 / 10 
3902,"
        Chuck Norris ne regarde jamais en arrière, il sait déjà que tout est désolation.
 ",8.33 / 10 
3903,"
        Chuck Norris peut manger sa soupe avec un couteau et une fourchette.
 ",8.32 / 10 
3904,"
        On n'achète pas Chuck Norris. Pour tout le reste, il y'a EuroCard MasterCard.
 ",8.32 / 10 
3905,"
        Quand Chuck Norris paye en ticket restaurant on lui rend la monnaie
 ",8.32 / 10 
3906,"
        Dans Indiana Jones 4 , Indy échappe à une explosion nucléaire en s'abritant dans un vieux frigo. Chuck Norris a déjà fait la même chose, mais avec un carton d'emballage.
 ",8.32 / 10 
3907,"
        Si Tom Cruise est une star, alors Chuck Norris est une galaxie.
 ",8.32 / 10 
3908,"
        Avoir l'estomac dans les talons, c'est possible grâce à Chuck Norris.
 ",8.32 / 10 
3909,"
        Nourrisson, Chuck Norris gardait sa nourrice. Et lui bottait le cul quand la soupe était froide.
 ",8.32 / 10 
3910,"
        Hotmail a une adresse Chuck Norris
 ",8.32 / 10 
3911,"
        Quand Chuck Norris va à la gare, le train l'attend.
 ",8.32 / 10 
3912,"
        Lorsque Chuck Norris regarde un match de beach-volley féminin, il connait quand même le score.
 ",8.32 / 10 
3913,"
        Quand Chuck Norris fait le plein, le compteur s'arrête toujours sur un chiffre rond.
 ",8.32 / 10 
3914,"
        Le soleil renvoie la lumière produite par Chuck Norris
 ",8.32 / 10 
3915,"
        La théorie du chaos est née d'une conclusion d'enquête de Walker Texas Ranger.
 ",8.32 / 10 
3916,"
        Chuck Norris sent venir le danger, mais le danger ne vient pas, il a trop peur de Chuck Norris.
 ",8.32 / 10 
3917,"
        Chuck Norris peut siphonner une voiture électrique.
 ",8.32 / 10 
3918,"
        Superman ne vole pas, c'est Chuck qui le lance en l'air.
 ",8.32 / 10 
3919,"
        Chuck Norris sait siffler la bouche pleine.
 ",8.32 / 10 
3920,"
        Lorsqu'il s'endort, Morphée tombe dans les bras de Chuck Norris.
 ",8.32 / 10 
3921,"
        les petits pains se vendent comme les DVD de Chuck Norris.
 ",8.32 / 10 
3922,"
        Quand Chuck Norris dit à Obélix qu'il est gros, Obélix ne proteste pas.
 ",8.32 / 10 
3923,"
        Ce que nous appelons Napalm, Chuck Norris appelle ça Tabasco
 ",8.32 / 10 
3924,"
        Dieu a dit: que la lumiere soit! et Chuck Norris répondit : On dit s'il vous plait.
 ",8.32 / 10 
3925,"
        Les jeux olympiques servent uniquement a déterminer qui serait digne de perdre contre Chuck Norris
 ",8.32 / 10 
3926,"
        Chuck Norris ne joue pas aux fléchettes, on appelle ça des frappes chirurgicales.
 ",8.32 / 10 
3927,"
        Chuck Norris peut dire ""jamais"" .
 ",8.32 / 10 
3928,"
        Chuck Norris a appris la couture, mais c'est juste pour recoudre ses partenaires après un rapport sexuel.
 ",8.32 / 10 
3929,"
        Quand Chuck Norris arrive premier, il gagne aussi le lot de consolation.
 ",8.32 / 10 
3930,"
        La crise des subprimes a débuté avec la dernière partie de monopoly de Chuck Norris...
 ",8.32 / 10 
3931,"
        Lombre de Chuck Norris narrive pas à le suivre quand il envoie des rafales de roundhouse kicks. Alors elle se contente dapplaudir.
 ",8.32 / 10 
3932,"
        Chuck Norris ne se trompe pas, il crée l'exception qui fait la régle.
 ",8.32 / 10 
3933,"
        Lorsque Chuck Norris grille un feu rouge, c'est le feu rouge qui est en tort
 ",8.32 / 10 
3934,"
        Quand Chuck Norris perd ses clés, ce sont les clés qui cherchent Chuck Norris.
 ",8.32 / 10 
3935,"
        Avoir Chuck Norris en contact msn est le meilleur des anti-virus.
 ",8.32 / 10 
3936,"
        Le Joker a déjà fait le coup du ""Tu sais d'où je tiens ces cicatrices ?"" à Chuck Norris. Depuis, le Joker ne sourit plus du tout.
 ",8.32 / 10 
3937,"
        La belle-mère de Chuck Norris est toujours d'accord avec lui.
 ",8.32 / 10 
3938,"
        Un jour dracula à voulu mordre Chuck Norris, l'expression ""tu vas te casser les dents"" est née
 ",8.32 / 10 
3939,"
        Chuck Norris s'est deja évadé de Fox River...et sans tatouages en plus.
 ",8.32 / 10 
3940,"
        Quand Chuck Norris commande une pizza , c'est le Transporteur qui fait la livraison....et il demande pas de pourboire.
 ",8.32 / 10 
3941,"
        Chuck Norris peut faire le score de 1 avec 2 dés.
 ",8.32 / 10 
3942,"
        Chuck Norris est au bout de la chaîne alimentaire.
 ",8.32 / 10 
3943,"
        Chuck Norris est allé voir le spectacle d'Arthur. Deux fois.
 ",8.32 / 10 
3944,"
        Quand chuck norris regarde fixement le soleil,le soleil baisse les yeux.on appelle ça la nuit.
 ",8.32 / 10 
3945,"
        Au monoploy spécial Chuck Norris, la rue de la paix n'existe pas.
 ",8.32 / 10 
3946,"
        Il n'y a pas de Prix Nobel de la Guerre car Chuck Norris est trop modeste.
 ",8.32 / 10 
3947,"
        Si Chuck Norris met un coup de tête à Materrazzi, l'arbitre donne un carton rouge.... à Materrazzi.
 ",8.32 / 10 
3948,"
        Ce n'est pas une flèche empoisonnée plantée dans le talon qui tua Achille, c'est Chuck Norris qui avait jeté son cure dent.
 ",8.32 / 10 
3949,"
        Confucius a dit: ""La violence ne résout rien""...
Il a changé d'avis lorsque Chuck Norris lui a placé un coup de pompe derrière la nuque.
 ",8.32 / 10 
3950,"
        Chuck Norris ne perd pas son temps, il le retrouve toujours.
 ",8.32 / 10 
3951,"
        En 1942, les soviétiques sont débordés par les nazis, Staline demande à Roosevelt de l'aider, ce dernier leur envoie Chuck Norris. Cet épisode est connu sous le nom de ""bataille de Stalingrad"". Si la guerre ne se termine qu'en 1945, c'est parce que Chuck n'avait que 3 ans...
 ",8.32 / 10 
3952,"
        Si on tombe par hasard sur Walker Texas Ranger en zappant, la télécommande se bloque automatiquement.
 ",8.32 / 10 
3953,"
        Il n'y a pas de théorie de l'évolution. Juste une liste d'espèces que Chuck Norris autorise à survivre.
 ",8.32 / 10 
3954,"
        Materazzi a dit à Zidane que Chuck Norris l'avait bloqué sur MSN. C'est pour ça...
 ",8.32 / 10 
3955,"
        Cest parce quil aime les chats que Chuck Norris leur autorise à avoir 9 vies.
 ",8.32 / 10 
3956,"
        Chuck Norris n'as pas de compte bancaire. il tape une somme sur le distributeur et l'argent sort.
 ",8.32 / 10 
3957,"
        La seule touche au clavier de Chuck Norris est «Supprimer»
 ",8.32 / 10 
3958,"
        C'est Chuck Norris qui a tué le coiffeur de Sébastien Folin.
 ",8.32 / 10 
3959,"
        Chuck Norris donne des ailes à Red Bull.
 ",8.32 / 10 
3960,"
        Quand Chuck Norris fait du yo-yo, il ne remonte pas. Il a trop peur.
 ",8.32 / 10 
3961,"
        Chuck Norris peut foutre des baffes avec les pieds
 ",8.32 / 10 
3962,"
        Coller un timbre de Chuck Norris est la seule manière non risquée de lui tirer la langue quand il vous tourne le dos. Et encore...
 ",8.32 / 10 
3963,"
        On peut diviser les gens en deux catégories : Chuck Norris et les autres.
 ",8.32 / 10 
3964,"
        Chuck Norris a appris à Pythagore à se servir d'une équerre.
 ",8.32 / 10 
3965,"
        Les fontaines jettent des pièces sur Chuck Norris pour exaucer leurs voeux
 ",8.31 / 10 
3966,"
        Chuck Norris ne porte pas de montre. Il décide de l'heure qu'il est.
 ",8.31 / 10 
3967,"
        Chuck Norris gagne toujours les enchères eBay. Personne ne surenchérit sur une enchère de Chuck Norris.
 ",8.31 / 10 
3968,"
        Un jour où il faisait de la plongée, Chuck Norris a croisé un grand requin blanc. C'était pas mauvais.
 ",8.31 / 10 
3969,"
        Dieu a envoyé son fils Jésus à l'humanité. Chuck Norris a envoyé Dieu à l'humanité.
 ",8.31 / 10 
3970,"
        Quand Chuck Norris marche sur un clou rouillé, le clou attrape le tetanos.
 ",8.31 / 10 
3971,"
        L'essentiel n'est pas dans lactel, il est dans Chuck Norris.
 ",8.31 / 10 
3972,"
        Pour senregistrer Chuck Norris parle directement à  un cd
 ",8.31 / 10 
3973,"
        Meme en tutu, Chuck Norris serait encore plus viril que n'importe quel homme sur Terre ...
 ",8.31 / 10 
3974,"
        un guépard court à 123km/h , Chuck Norris marche à cette vitesse.
 ",8.31 / 10 
3975,"
        En verlan, Chuck Norris donne Chuck Norris. On ne retourne pas Chuck Norris.
 ",8.31 / 10 
3976,"
        Chuck Norris a déjà été mordu par une araignée. Celle-ci aurait ensuite mordu Peter Parker.
 ",8.31 / 10 
3977,"
        Chuck Norris est la raison pour laquelle Charlie se cache.
 ",8.31 / 10 
3978,"
        Personne n'est parfait... Sauf Chuck Norris qui est mieux que ça.
 ",8.31 / 10 
3979,"
        Superman, pour pouvoir mettre son costume de super-héros, a besoin d'une cabine téléphonique ; pour Chuck Norris, un GSM suffit.
 ",8.31 / 10 
3980,"
        Le jour où Chuck Norris a eu sommeil un matin, le soleil s'est recouché.
 ",8.31 / 10 
3981,"
        Chuck Norris fait ses photocopies au crayon à papier.
 ",8.31 / 10 
3982,"
        Chuck Norris est champion du monde de saut en largeur
 ",8.31 / 10 
3983,"
        Quand Neil Armstrong a atterri sur la lune, c'est Chuck Norris qui est venu ouvrir la porte de sa fusée.
 ",8.31 / 10 
3984,"
        Les neveux et nièces de Chuck Norris ne le forcent pas a regarder Dora l'exploratrice.
 ",8.31 / 10 
3985,"
        Chuck Norris a inventé le lance-flammes en urinant sur un briquet.
 ",8.31 / 10 
3986,"
        Christophe Colomb n'a pas découvert les Amériques, c'est Chuck Norris qui lui a donné l'adresse pour venir boire l'apéritif.
 ",8.31 / 10 
3987,"
        Chuck Norris ne regarde pas la télé, c'est la télé qui regarde Chuck Norris
 ",8.31 / 10 
3988,"
        Chuck Norris sait parler le verlan. En chinois.
 ",8.31 / 10 
3989,"
        Quand Chuck Norris regarde un film d'horreur c'est le film qui a peur.
 ",8.31 / 10 
3990,"
        Les vaches regardent les trains passer. Les trains regardent passer Chuck Norris.
 ",8.31 / 10 
3991,"
        Picsou offre de l'argent à Chuck Norris.
 ",8.31 / 10 
3992,"
        Chuck Norris aime beaucoup les chinoises. Pourquoi croyez-vous qu'il y a autant de chinois ?
 ",8.31 / 10 
3993,"
        Si les bébés pleurent le jour de leur naissance, c'est parce qu'ils sont déçus de ne pas avoir Chuck Norris pour père.
 ",8.31 / 10 
3994,"
        Le jour où Chuck Norris pètera un cable, le monde s'eteindra.
 ",8.31 / 10 
3995,"
        Chuck Norris se cultive en regardant TF1.
 ",8.31 / 10 
3996,"
        La France a perdu en demi-finale face à l'Angleterre car on a remplacé Chuck Norris par 15 joueurs français.
 ",8.31 / 10 
3997,"
        Lorsque Chuck Norris va dans un restaurant, c'est le serveur qui laisse un pourboire.
 ",8.31 / 10 
3998,"
        A la naissance, les nouveaux-nés pleurent car ils savent qu'ils entrent dans un monde où vit Chuck Norris.
 ",8.31 / 10 
3999,"
        Si Chuck Norris avait été Belge, Coluche n'aurait jamais osé.
 ",8.31 / 10 
4000,"
        Dans son enfance, Chuck Norris distribuait des journaux ; il n'y eu aucun survivant.
 ",8.31 / 10 
4001,"
        Quand Chuck Norris veut faire du saut en longueur, il réserve une plage.
 ",8.31 / 10 
4002,"
        La boîte de Pandore contenait Chuck Norris.
 ",8.31 / 10 
4003,"
        L'épée de Damoclès a peur de tomber sur Chuck Norris.
 ",8.31 / 10 
4004,"
        Quand Chuck Norris montre le soleil du doigt, y'a une éclipse
 ",8.31 / 10 
4005,"
        Chuck Norris a vérifié qu'un chat lancé avec le dos tartiné de confiture retombait bien du bon côté.
 ",8.31 / 10 
4006,"
        Sitting Bull s'appelait Standing Bull avant de rencontrer Chuck Norris.
 ",8.31 / 10 
4007,"
        Michael Jordan a vu Chuck Norris jouer au basket un jour. Ecoeuré, il s'est mis au baseball...
 ",8.31 / 10 
4008,"
        Atlas a porté la Terre, mais Atlas était sur les épaules de Chuck Norris.
 ",8.31 / 10 
4009,"
        Chuck Norris peut creuser un demi trou.
 ",8.31 / 10 
4010,"
        Chuck Norris est strictement supérieur à Chuck Norris.
 ",8.31 / 10 
4011,"
        La Ligue des Justiciers a porté plainte contre Chuck Norris pour concurrence déloyale.
 ",8.31 / 10 
4012,"
        Chuck Norris ne respecte pas le code de la route ...c'est le code de la route qui respecte Chuck Norris
 ",8.31 / 10 
4013,"
        Juste en posant sa main sur les yeux d'un aveugle, Chuck Norris peut le rendre paraplégique.
 ",8.31 / 10 
4014,"
        La Terre tourne sur elle même parce que Chuck Norris marche dessus.
 ",8.31 / 10 
4015,"
        Chuck Norris arrive à supporter Patrick Sébastien pendant toute une soirée.
 ",8.31 / 10 
4016,"
        Chuck Norris n'a pas besoin d'avoir de la chance...
La chance elle, a besoin de Chuck Norris.
 ",8.31 / 10 
4017,"
        Personne ne peut décrocher la lune, c'est Chuck Norris qui l'a fixée.
 ",8.31 / 10 
4018,"
        Rire est bon pour la santé. Sauf si c'est pour rire de Chuck Norris.
 ",8.31 / 10 
4019,"
        Si Chuck Norris avait joué dans les 3 petits cochons, ça se serait appelé les 3 petites côtelettes
 ",8.3 / 10 
4020,"
        G. W. Bush a envahi lIrak parce que Chuck Norris craignait de manquer dessence pour son 4x4.
 ",8.3 / 10 
4021,"
        les Corn Flakes attendent la permission de Chuck Norris pour croustiller dans le lait.
 ",8.3 / 10 
4022,"
        Chuck Norris peut trouver une place le samedi soir à Paris.
 ",8.3 / 10 
4023,"
        Les poules n'ont pas de dent car Chuck Norris leur a toutes cassées la gueule.
 ",8.3 / 10 
4024,"
        Chcuk Norris a connu la forêt saharienne avant qu'il ait besoin de bois pour son ranch
 ",8.3 / 10 
4025,"
        Chuck Norris planche sur une nouvelle série : Walker Texas Power Ranger
 ",8.3 / 10 
4026,"
        Si Dieu a de la barbe, c'est pour faire comme Chuck Norris.
 ",8.3 / 10 
4027,"
        Une banane entre les mains de Chuck Norris est plus meurtrière qu'un .45 entre celles de Tony Montana.
 ",8.3 / 10 
4028,"
        Jean-Paul II n'avait pas la maladie de Parkinson, il avait simplement serré la main à Chuck Norris.
 ",8.3 / 10 
4029,"
        En pressant une seule olive dans sa main, Chuck Norris peut tirer deux litres d'huile.
 ",8.3 / 10 
4030,"
        Derrière chaque grands hommes se cache une femme et derrière leur femme se cache cache Chuck Norris!
 ",8.3 / 10 
4031,"
        Dieu à créé l'homme à son image en s'appliquant au possible. Chuck Norris a créé l'image de Dieu en griffonnant sur un Post-It pendant une conversation téléphonique.
 ",8.3 / 10 
4032,"
        Un jour Chuck Norris a dit à Dark Vador : ""Je suis ton père...""
 ",8.3 / 10 
4033,"
        À peine sorti du ventre de sa mère, Chuck Norris n'est pas resté à la maternité. Il est parti directement à la salle de muscu.
 ",8.3 / 10 
4034,"
        Chuck Norris sait claquer des doigts avec les pieds
 ",8.3 / 10 
4035,"
        Lorsque Chuck Norris fait du stop dans un aéroport, les avions s'arrêtent pour le prendre.
 ",8.3 / 10 
4036,"
        Chuck Norris n'a jamais vu la phrase ""Game over"".
 ",8.3 / 10 
4037,"
        Chuck Norris aimerais tuer la petite souris. Mais il n'a jamais perdu une dent.
 ",8.3 / 10 
4038,"
        Les hommes les plus courageux du monde jouent les méchants dans la série Walker Texas Ranger.
 ",8.3 / 10 
4039,"
        Danette se lève pour Chuck Norris.
 ",8.3 / 10 
4040,"
        Dans les jeux RPG, au-dessus de niveau 99, il y a le niveau chuck norris.
 ",8.3 / 10 
4041,"
        Chuck Norris a déja vaincu son adversaire en enroulant les ciseaux dans la feuille au jeu ""Pierre/Feuille/Ciseaux"". Une autre fois, il a coupé la pierre en deux avec ses ciseaux.
 ",8.3 / 10 
4042,"
        Quand l'ours voit Chuck Norris, il vend sa peau lui-même et fissa.
 ",8.3 / 10 
4043,"
        Petit, Chuck Norris avait de vrais canards dans son bain
 ",8.3 / 10 
4044,"
        On ne s'agenouille pas devant Chuck Norris, on s'allonge
 ",8.3 / 10 
4045,"
        Le pénis de Chuck Norris est ceinture noire 3e dan et 32e degré maçonnique.
 ",8.3 / 10 
4046,"
        Lorsque Chuck Norris achète des cigarettes, le buraliste enlève les messages sur les paquets de cigarettes. Rien de cela ne s'applique à Chuck Norris.
 ",8.3 / 10 
4047,"
        Si Dark Vador arrive à dominer la galaxie, c'est parce que Chuck Norris n'habite pas celle là
 ",8.3 / 10 
4048,"
        Dans la version originale du ""Seigneur des Anneaux"" de J.R.R Tolkien, Chuck Norris est le héros et non Frodon Saquet..Cette version ne faisait que cinq pages et Chuck Norris botte le cul de Sauron environ au milieu du premier chapitre...
 ",8.3 / 10 
4049,"
        Quand Chuck Norris frappe Sonic, celui-ci ne perd pas d'anneaux mais des organes.
 ",8.3 / 10 
4050,"
        Chuck Norris mange des petits écoliers en toute impunité
 ",8.3 / 10 
4051,"
        Un égoïste, c'est quelqu'un qui ne pense pas à Chuck Norris
 ",8.3 / 10 
4052,"
        Des fois les escaliers se cassent la gueule dans Chuck Norris.
 ",8.3 / 10 
4053,"
        Chuck Norris comprend Jean-Claude Van Damme.
 ",8.3 / 10 
4054,"
        Chuck Norris connait la dernière décimale de Pi.
 ",8.3 / 10 
4055,"
        You Chuck my wife !?
 ",8.3 / 10 
4056,"
        c'est pas moïse qui a ouvert la mer en deux,c'est Chuck norris qui nageait le papillon.
 ",8.3 / 10 
4057,"
        Quand des copains de Chuck Norris l'ont envoyé chasser le dahu, Chuck Norris est réellement revenu avec un dahu.
 ",8.3 / 10 
4058,"
        Le premier job d'été de Chuck Norris fut chirurgien. On ne donne pas de boulots minables à Chuck Norris.
 ",8.3 / 10 
4059,"
        Quand Chuck Norris n'a pas le moral, il prend celui des autres
 ",8.3 / 10 
4060,"
        Superman est plus rapide qu'une balle, sauf si elle est tirée par Chuck Norris.
 ",8.3 / 10 
4061,"
        À la fin de sa vie, Casanova a avoué avoir couché avec plus de 20 000 femmes, en entendant cela Chuck Norris a soupiré: ""Bof, un mauvais mardi quoi... ""
 ",8.3 / 10 
4062,"
        Quand Chuck Norris a envie d'une religieuse pour son quatre heures, il va directement à l'église.
 ",8.3 / 10 
4063,"
        quand chuck norris regarde la télévision, elle baisse les yeux.
 ",8.3 / 10 
4064,"
        Le Joker souriait toujours, jusqu'au jour où il vit Chuck Norris...
 ",8.3 / 10 
4065,"
        Lors d'un passage télé de ""Qui veut gagner des millions , VIP"" Chuck Norris a dit ""Moi"". Et a gagné.
 ",8.3 / 10 
4066,"
        Le rouleau de PQ de Chuck Norris n'a jamais de fin.
 ",8.3 / 10 
4067,"
        Chuck Norris a fait perdre des kilos à la Wii fit
 ",8.3 / 10 
4068,"
        Quand Chuck Norris va en prison au Monopoly, il s'évade.
 ",8.3 / 10 
4069,"
        On peut dire non à Chuck Norris, mais faut avoir une bonne mutuelle.
 ",8.3 / 10 
4070,"
        Chuck norris est venu à ""incroyables talents"". Il est resté debout à ne rien faire pendant le temps imparti. Les juges étaient bluffés...
 ",8.3 / 10 
4071,"
        Chuck Norris peut télécharger une pizza.
 ",8.3 / 10 
4072,"
        Darty a confiance en Chuck Norris.
 ",8.29 / 10 
4073,"
        Chuck Norris n'aime pas les Troloupitioux. C'est pour ça que vous n'en avez jamais entendu parlé.
 ",8.29 / 10 
4074,"
        Chuck Norris a 20 points sur son permis
 ",8.29 / 10 
4075,"
        Quand Chuck Norris fixe la Gorgone yeux dans les yeux, elle lui file son numéro de portable.
 ",8.29 / 10 
4076,"
        Chuck Norris ne se lève pas en faisant des pompes, c'est la Terre qui baisse sous sa force.
 ",8.29 / 10 
4077,"
        Si Chuck Norris te propose de faire un bras de fer, acceptes... mieux vaut un bras dans le plâtre plutôt que tout le corps.
 ",8.29 / 10 
4078,"
        Comme pour son K-way, Chuck Norris peut te ranger dans ta propre poche
 ",8.29 / 10 
4079,"
        Chuck Norris a inventé la couleur noire. En fait, CHuck Norris a inventé toutes les couleurs du spectre visible, sauf le rose. Tom Cruise a inventé le rose.
 ",8.29 / 10 
4080,"
        Si Chuck Norris avait joué la finale coupe du monde 2006, la France aurait gagné par 1 mort à zéro.
 ",8.29 / 10 
4081,"
        Chuck Norris peut avoir un Blackjack avec une seule carte.
 ",8.29 / 10 
4082,"
        Chuck Norris a fait 7 avec un dé a coudre
 ",8.29 / 10 
4083,"
        Le personnage Chuck Norris a été retiré de ""Mortal Kombat"" : tous ses coups étaient des ""Fatalities""...
 ",8.29 / 10 
4084,"
        Chuck Norris n'apprend pas l'Histoire, c'est l'Histoire qui apprend de Chuck Norris.
 ",8.29 / 10 
4085,"
        Chuck Norris peut démarrer une voiture au kick...
 ",8.29 / 10 
4086,"
        Un jour, Chuck Norris a éternué dans les mains de Spider-Man...
 ",8.29 / 10 
4087,"
        Chuck Norris est la seule star à posséder une maison sur une plage privée corse. Les corses préfèrent ne pas y toucher...
 ",8.29 / 10 
4088,"
        Chuck Norris garde toujours un oeil sur dieu, un autre sur Superman et un autre sur Hulk.
 ",8.29 / 10 
4089,"
        Chuck Norris peut conjuguer le verbe falloir à tous les temps et toutes les personnes.
 ",8.29 / 10 
4090,"
        Si on autorise Cindy Sander à chanter, c'est uniquement parce qu'elle est la nièce de Chuck Norris.
 ",8.29 / 10 
4091,"
        Si on dit que Chuck Norris a passé l'arme à gauche, c'est seulement parce qu'il en avait marre de la tenir à droite.
 ",8.29 / 10 
4092,"
        Lorsque Chuck Norris se lève le soleil se couche. On ne chauffe pas Chuck Norris.
 ",8.29 / 10 
4093,"
        Les U.S.A ont perdu la guerre du vietnam car Chuck Norris prenait ses jours de R.T.T .
 ",8.29 / 10 
4094,"
        Chuck Norris a tué le chat de Schrödinger.
 ",8.29 / 10 
4095,"
        Sans parler Chuck Norris met tout le monde d'accord.
 ",8.29 / 10 
4096,"
        Avant que Chuck Norris s'énerve, Handicap International n'était que national.
 ",8.29 / 10 
4097,"
        Si vous êtes parisien et que votre RER est à l'heure, vous pouvez être sur que Chuck Norris l'attend aussi.
 ",8.29 / 10 
